,MOL_id,MOL_name,SMILES,Cluster No.,Num_data,Num_pos_data
93,L000094,NPD15210,CCCCC[C@H](O)/C=C/[C@H]1CCC(=O)[C@@H]1CCCCCCC(=O)N1CCCC(C)(C)C1,,9,0
94,L000095,NPD15207,CCCCC[C@H](O)/C=C/[C@H]1CCC(=O)[C@@H]1CCCCCCC(=O)N1CC2(C)CC1CC(C)(C)C2,,9,0
95,L000096,NPD15639,COc1c2c(cc3c1C(CC(=O)/C=C/C1C(C)=CCCC1(C)C)[N+](C)(C)CC3)OCO2.[I-],,9,0
96,L000097,NPD15636,COc1c2c(cc3c1C(CC(=O)c1cc4c(cc1C)C(C)(C)C(C)C4(C)C)[N+](C)(C)CC3)OCO2.[I-],,9,0
97,L000098,Anacardic acid,CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O,,9,0
98,L000099,Cryptotanshinone,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,,9,0
99,L000100,NPL00604-01,O=C(O)CCc1ccc(O)c(O)c1,,9,0
100,L000101,NPL90498-01,C[C@@]12CO[C@@H](Cc3ccccc3)O[C@@H]1CC[C@]1(C)C2CC[C@@H](O)[C@H]1CC(=O)NCc1ccco1,,9,0
101,L000102,NPL71291-01,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)ccc1O,,9,0
102,L000103,NPD15168,COc1c2c(cc3c1C(CC(=O)/C=C/c1ccco1)[N+](C)(C)CC3)OCO2.[I-],,9,0
103,L000104,HRT-0017,CCOC(=O)C[C@H]1C(=O)/C=C(/C)[C@H](OC(=O)c2ccccc2)C/C=C(\C)CC1=O,,9,0
104,L000105,STL284541,CCOc1ccc(-c2cc(OC)c3c(C)oc(C)c3c(=O)c2)cc1,,9,0
105,L000106,STK792873,CCOc1cc(-c2ccc(O)c(OC)c2)cc(=O)c2c(C)oc(C)c12,,9,0
106,L000107,STL293607,CCOc1cc(-c2ccc(O)c(O)c2)cc(=O)c2c(C)oc(C)c12,,9,0
107,L000108,V1705,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(C=O)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,,9,0
108,L000109,STL199753,CCOc1ccc(-c2cc(OC(=O)c3ccc(C(C)(C)C)cc3)c3c(C)oc(C)c3c(=O)c2)cc1,,9,0
109,L000110,STL182896,CCOc1ccc(-c2cc(OC(=O)c3cccc(C)c3)c3c(C)oc(C)c3c(=O)c2)cc1,,9,0
